post,background
"Today marks the end of my 12-week internship journey as a Worldwide Procurement Intern in Dell Technologies. Recognised as having one of the world's best supply chains, I applied for an internship position here with the intention of learning from world-class industry experts in the supply-chain field. After 3 months here in Dell, I can confidently say that I have left with so much more.     For me, the biggest takeaway from Dell is to dig deep and always be curious. When I first stepped into the office, I was immediately introduced to the concept of 1X1s - 1 on 1 meetings with any partner to learn more about their work function or to gain insights on a particular issue. Questions are welcomed, if not highly encouraged, in Dell and despite how busy the managers and mentors were, my questions were always thoughtfully answered. This has helped me gain tons of insights not only in procurement, but in other job functions as well.     On top of this, I have thoroughly enjoyed the opportunities all interns were given to showcase and refine our skills. There was never a dull day in the office. From hackathons to projects focused on aiding the team solve real-world issues, we were constantly being challenged to think critically and analytically. Though I admit it got hectic at times, the warm and supportive culture in Dell was of great help through these tough times.     Although this 12-week internship was just the tip of the iceberg into the procurement field, my perspective has definitely broadened from the numerous 1X1s, Brown Bags, Executive Speaker Series, networking sessions and department events with the outstanding team here in Dell.     I'd like to thank my intern team for being such remarkable group mates to work with and learn from. I am grateful for the team's ""never-say-die"" spirit - supporting each other throughout no matter how tough it got. I'd also like to thank for sacrificing precious work hours to answer our never-ending set of questions and for being the best buddy any intern could ask for. Also huge thanks to for his superb mentorship and perceptive feedback on our projects, Christe Elmenzo for being such a supportive and approachable mentor, for his technical expertise and guidance, and core team for an unforgettable internship programme, and all other interns for such a wholesome and vibrant experience.     Once again, heartfelt thanks to for this opportunity. Till next time!",NUS | Business Administration with Double Major in Economics
"Ananthakumar Mani, Vice President - India, Capgemini, was recently invited as a Chief Guest to inaugurate the Smart India Hackathon 2022 - Software Edition, hosted by Presidency University Bangalore, at Nodal Center. A total of 33 teams with 215 participants from 3 companies/organizations competed over seven problem statements provided by the Government of Rajasthan, Dell Technologies, and MathWorks.","5,068,481 followers"
Dell Technologies como patrocinador y el grupo Eurus UTP como organizadores estamos felices de anunciarte las fechas de de la Hackathon 2021.⁠  ⁠  Te esperamos los días 20 y 21 de Noviembre👨‍💻👩‍💻⁠,158 followers
"💡InnovAzioni 2022  Aurum Pescara - La fabbrica delle idee  🗓️11 e 12 novembre    🎤Scopri chi sono gli InnovAtion speaker di questa edizione e prenota il tuo biglietto per partecipare in presenza all'evento!  Link al primo commento.    Confindustria Chieti Pescara punta su e innovative e sul loro connubio con le grandi imprese come volano per l’economia.    2️⃣ giornate in cui sarai immerso nell'innovazione a 360°:    🗓️Speech, innovation talk, gare di idee e hackathon che terminerano con la premiazione di 3 Campioni di InnovAzioni PMI, 3 Campioni di InnovAzioni Start-up/Spin-off e 3 gruppi di giovani studenti universitari.    🎫 La partecipazione è gratuita, ma è necessaria la prenotazione.  Puoi già prenotare il tuo posto per una o entrambe le giornate sul sito ufficiale dell'evento.    Giovani Imprenditori Confindustria Chieti Pescara I I I Premio Best Practices per l'Innovazione I I I I I I I I I I Capital Management I I I I I Abruzzo Economia I - Agenti di Assicurazione I I I web and software solutions I @SECURITALIA I Meta business services I I I I I","7,323 followers"
"Ecco la traccia dell'#HACKATHON di oggi, in collaborazione con Rifò.  #Evento RE-TECH⚡",491 followers
"THANK YOU to our Swag Bag sponsors for our ""What Makes a SuperHost?"" Hackathon! Our students will receive Swag Bags full of swag from Amazon , Asurion , Nashville Software School , Belmont Data Collaborative , , , , and ! We appreciate your support!",946 followers
"A grateful welcoming package from  Dell Technologies as my team, Cluster-Phobia, was one of the top 39 Student teams and 27 Working professionals over Egypt who qualified to participate in Hacktrick Hackathon 2022.",Service Cloud Specialist @ Scandiweb | Bug Hunter (eJPT) | Founder @ Cyberus Stud ASU
"Ritorno a Procida per accompagnare la seconda tappa di Hack(c)ultura, un hackathon che parte da un processo di confronto e ascolto per immaginare assieme un futuro sostenibile su tre macro-scenari centrali per Procida: l’ambiente, il patrimonio culturale, la mobilità.    I 50 partecipanti - che hanno colto le sfide legate ai bisogni e alle istanze delle comunità isolana - hanno il compito di progettare soluzioni innovative per la tutela e la valorizzazione dei territori attraverso pratiche di sostenibilità.    Un altro passo di questo magnifico viaggio che Procida sta realizzando nell’anno che la vede Capitale Italiana della Cultura.","Regional Minister for Research, Innovation and Startups at Campania Region"
"I just received my new EMOTIV Insight 2. I participated in the Emotive Change - A BCI Hackathon in Support of People with Disabilities back in August 2021, and I won first place - working solely on the front-end, back-end, BCI, and Arduino hacking.    I was offered the Emotiv Insight and Dell XPS as the prize, and I waited this long to get my hands on the new Insight 2. It's time to start working on multiplayer Brain-Computer Interfaces. Thank you, for the amazing gift.    Watch out for this space and for more updates on what we are working on and how we are changing the world using non-invasive neurotech.              ",Founder & CEO at SkyBrain Neurotech
"Girl Geek Academy turns 8 years old in 2022 and we shared our changemaker story with The Project last week(supported by Dell Technologies). April Staines, Lisy Kane, Amanda Watts, Tammy Bryant Butow and I formed Girl Geek Academy to change the ratio of the number of women and girls building the internet.    Most recently we have partnered with 's incredible industry leaders championing the inclusion of women and girls: a massive shout out to , , and for helping to bring fun technology and AI skills to Year 7-10 girls in ANZ every Monday and leading our mentoring program. If you know a high school girl or teacher: IT'S FREE!    A BIG HAPPY BIRTHDAY TO GIRL GEEK ACADEMY! Here's a few memories to celebrate:    🦄 It all started with , the world's first all women hackathon, in 2014, which has since seen wide support from across the startup sector.    🦄 We then went on to build programs such as teaching girls coding from age 5 supported by the and    🦄 and our Games Career Incubator supported by , changing the ratio of women in games (currently around 19% in Australia)    🦄 Our children's book series written by & published by have sold over 30,000 copies!    🦄 The Gender Equality Game Jam supported by & as part of Gender Equality through the Arts    🦄 and for creating the Girl Geek in Residence program.    🦄 The Rethink Pink school holiday programs in partnership with Sunsilk championed by    🇼🇸 The launch of Girl Geek Academy Samoa by    🇻🇺 Vanuatu led by Smart Sistas and , supported by Office of the Vanuatu Government Chief Information Officer (OGCIO) in collaboration with Vanuatu Telecommunications Radiocommunications and Broadcasting Regulator (TRBR) and @APT Young Professional and Students Programme (APTYPS) 2021.    🚀 - we look forward to seeing gender equality in the skies alongside our ambassador and would you believe April is making a spacesuit right this very second 👩‍🚀    To say the past few years has been tough would be a massive understatement (in fact I have COVID right now!). Many things have tried to take us out.    But we are still here. 🤘    To be honest, we wouldn't be if it wasn't for all of our partners (schools, governments, leading companies, people working in industry and the young people who join us) who come together to support the vision that we can create a more inclusive internet, built by diverse teams.    And our team: thank you to , , Cherie Tan and who keep the wheels on the bus every day.    Those who back our vision early and often I will forever be thankful as we celebrate our cake day! 🎂","Engagement @ EV Council 🚘⚡️ Girl Geek Academy co-founder. Children's books: Girl Geeks: The Hackathon, Game On!, Perfect Holidays, Making Magic"
"Ottava edizione dell'#Hackathon Var Group: mettiti alla prova in una maratona di 32 ore per realizzare un progetto ad alta priorità strategica, in ambito WEB 3.0, per le aziende leader del panorama italiano e internazionale.  Scopri di più e candidati:     | |",Marketing Specialist at Var Prime a Var Group company
"Immergersi in un ecosistema che permette di attivare nuove energie e disegnare futuri possibili, sprigionando l'anima digitale delle aziende.  È questo il grandissimo valore della Convention Var Group #DigitalSoul da poco conclusasi, una fucina di innovazione ricca di stimoli e competenze per trasformare visioni in progetti concreti.    Due giornate dense di ispirazione e sperimentazione, tecnologia e innovazione, musica e divertimento, arte e spettacolo, hackathon e nuove frontiere del . Protagoniste assolute le anime di 1400 .    Tangibili l’ e la di tutto il presente a Riccione, che, con la guida di e , ha lavorato in sinergia per rendere la Convention uno spettacolo unico e indimenticabile. Orgogliosa di esserne parte!     ",Marketing Manager presso Yarix - Digital Security Var Group
